Ver.Nr.,Titel semunabh.,Form,Stg,Modul Kürzel(Nummer),Modul Kürzel(ModulCode),VGruppe,Semester,Titel semabh.,PG,Tag,von,bis,Rhyth.,Datum von,Datum bis,Raum,Anzahl   der   Teilnehmer,Durchf. Dozierende,Verantw. Dozierende
LV-12-105-076,Funktionentheorie und Vektoranalysis,Vorlesung,"Master Geschichte (20192), Bachelor Geschichte (20122), Bachelor Geschichte (20192), LA an Gymn Mathematik (20052), LA an Gymn Mathematik (20052), LA an Gymn Mathematik (20132), LA an Gymn Mathematik (20132), Master Informatik (20102), Bachelor Informatik (20102), Master Informatik (20162), Bachelor Informatik (20102), Bachelor Informatik (20162), Bachelor Informatik (20162), Bachelor Psychologie (20111), Master Gesch. d. Int. Politik (20122), LA E Gymn Mathematik (20052), Bachelor Psychologie (20111), LA E Gymn Mathematik (20132), Master Mathematik (20102), Bachelor Mathematik (20102), Bachelor Mathematik (20102), Bachelor Mathematik (20162), Bachelor Mathematik (20162), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Bachelor Erziehungs- und Bildungswissenschaft (20122), Master Wirtschaftsmathematik (20102), Bachelor Physik (20092), Master Prähist. Archäologie (20102), Bachelor Wirtschaftsmathematik (20102), Master Geoarchäologie (20102), Bachelor Wirtschaftsmathematik (20102), Master Geschichte (20122), Bachelor Geschichte (20122), Bachelor Archäologische Wissenschaften (20111), Master Klassische / Christliche und Byzantinische Archäologie (20192), Bachelor Archäologische Wissenschaften (20111), Bachelor Geographie (20172), Bachelor Geographie (20172), Bachelor Archäologische Wissenschaften (20211), Bachelor Informatik (20181), Bachelor Mathematik (20181), Bachelor Mathematik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Wirtschaftsmathematik (20181), Master Informatik (20181), Bachelor Physik (20182), Bachelor Physik (20182), Master Physik - Vertiefung und Forschung (20182), LA an Gymn Mathematik (20182), LA an Gymn Mathematik (20182), LA E Gymn Mathematik (20182), Master Physik - Vertiefung und Forschung (20201), Bachelor Archäologische Wissenschaften (20211), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Mathematik (7 Sem.) (20212), Master Physik - Vertiefung und Forschung (20191), Bachelor Mathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Archäologische Wissenschaften (20192), Bachelor Archäologische Wissenschaften (20192), Master Prähistorische Archäologie / Geoarchäologie (20192), Bachelor Geschichte (20192), Bachelor Physik (20201), Bachelor Physik (20201), Master Geschichte (20082), Bachelor Geschichte (20211), Bachelor Geschichte (20211), Master Geschichte (20211), Master Prähistorische Archäologie / Geoarchäologie (20211), Master Klassische / Christliche und Byzantinische Archäologie (20211), Master Prähist. Archäologie (20052)"," (12251240),  (128210080),  (12824230)Gr. Aufb. RM(1225100),  (1218230)"," (25-105-20052),  (82-105-20162),  (82-MAT-20102)Gr. Aufb. RM(25-105-20182),  (25-105-20132)","VG-12-105-023, VG-12-105-318",SoSe 2022,Funktionentheorie und Vektoranalysis,1. PG,Do,08:00,10:00,woch,14.04.2022,14.07.2022,2370/+1/0010, ,,"Agricola, I.; "
LV-12-105-076,Funktionentheorie und Vektoranalysis,Vorlesung,"Master Geschichte (20192), Bachelor Geschichte (20122), Bachelor Geschichte (20192), LA an Gymn Mathematik (20052), LA an Gymn Mathematik (20052), LA an Gymn Mathematik (20132), LA an Gymn Mathematik (20132), Master Informatik (20102), Bachelor Informatik (20102), Master Informatik (20162), Bachelor Informatik (20102), Bachelor Informatik (20162), Bachelor Informatik (20162), Bachelor Psychologie (20111), Master Gesch. d. Int. Politik (20122), LA E Gymn Mathematik (20052), Bachelor Psychologie (20111), LA E Gymn Mathematik (20132), Master Mathematik (20102), Bachelor Mathematik (20102), Bachelor Mathematik (20102), Bachelor Mathematik (20162), Bachelor Mathematik (20162), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Bachelor Erziehungs- und Bildungswissenschaft (20122), Master Wirtschaftsmathematik (20102), Bachelor Physik (20092), Master Prähist. Archäologie (20102), Bachelor Wirtschaftsmathematik (20102), Master Geoarchäologie (20102), Bachelor Wirtschaftsmathematik (20102), Master Geschichte (20122), Bachelor Geschichte (20122), Bachelor Archäologische Wissenschaften (20111), Master Klassische / Christliche und Byzantinische Archäologie (20192), Bachelor Archäologische Wissenschaften (20111), Bachelor Geographie (20172), Bachelor Geographie (20172), Bachelor Archäologische Wissenschaften (20211), Bachelor Informatik (20181), Bachelor Mathematik (20181), Bachelor Mathematik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Wirtschaftsmathematik (20181), Master Informatik (20181), Bachelor Physik (20182), Bachelor Physik (20182), Master Physik - Vertiefung und Forschung (20182), LA an Gymn Mathematik (20182), LA an Gymn Mathematik (20182), LA E Gymn Mathematik (20182), Master Physik - Vertiefung und Forschung (20201), Bachelor Archäologische Wissenschaften (20211), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Mathematik (7 Sem.) (20212), Master Physik - Vertiefung und Forschung (20191), Bachelor Mathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Archäologische Wissenschaften (20192), Bachelor Archäologische Wissenschaften (20192), Master Prähistorische Archäologie / Geoarchäologie (20192), Bachelor Geschichte (20192), Bachelor Physik (20201), Bachelor Physik (20201), Master Geschichte (20082), Bachelor Geschichte (20211), Bachelor Geschichte (20211), Master Geschichte (20211), Master Prähistorische Archäologie / Geoarchäologie (20211), Master Klassische / Christliche und Byzantinische Archäologie (20211), Master Prähist. Archäologie (20052)"," (12251240),  (128210080),  (12824230)Gr. Aufb. RM(1225100),  (1218230)"," (25-105-20052),  (82-105-20162),  (82-MAT-20102)Gr. Aufb. RM(25-105-20182),  (25-105-20132)","VG-12-105-023, VG-12-105-318",SoSe 2022,Funktionentheorie und Vektoranalysis,1. PG,Sa,09:00,12:00,Einzel,30.07.2022,30.07.2022,, ,,"Agricola, I.; "
LV-12-105-076,Funktionentheorie und Vektoranalysis,Vorlesung,"Master Geschichte (20192), Bachelor Geschichte (20122), Bachelor Geschichte (20192), LA an Gymn Mathematik (20052), LA an Gymn Mathematik (20052), LA an Gymn Mathematik (20132), LA an Gymn Mathematik (20132), Master Informatik (20102), Bachelor Informatik (20102), Master Informatik (20162), Bachelor Informatik (20102), Bachelor Informatik (20162), Bachelor Informatik (20162), Bachelor Psychologie (20111), Master Gesch. d. Int. Politik (20122), LA E Gymn Mathematik (20052), Bachelor Psychologie (20111), LA E Gymn Mathematik (20132), Master Mathematik (20102), Bachelor Mathematik (20102), Bachelor Mathematik (20102), Bachelor Mathematik (20162), Bachelor Mathematik (20162), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Bachelor Erziehungs- und Bildungswissenschaft (20122), Master Wirtschaftsmathematik (20102), Bachelor Physik (20092), Master Prähist. Archäologie (20102), Bachelor Wirtschaftsmathematik (20102), Master Geoarchäologie (20102), Bachelor Wirtschaftsmathematik (20102), Master Geschichte (20122), Bachelor Geschichte (20122), Bachelor Archäologische Wissenschaften (20111), Master Klassische / Christliche und Byzantinische Archäologie (20192), Bachelor Archäologische Wissenschaften (20111), Bachelor Geographie (20172), Bachelor Geographie (20172), Bachelor Archäologische Wissenschaften (20211), Bachelor Informatik (20181), Bachelor Mathematik (20181), Bachelor Mathematik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Wirtschaftsmathematik (20181), Master Informatik (20181), Bachelor Physik (20182), Bachelor Physik (20182), Master Physik - Vertiefung und Forschung (20182), LA an Gymn Mathematik (20182), LA an Gymn Mathematik (20182), LA E Gymn Mathematik (20182), Master Physik - Vertiefung und Forschung (20201), Bachelor Archäologische Wissenschaften (20211), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Mathematik (7 Sem.) (20212), Master Physik - Vertiefung und Forschung (20191), Bachelor Mathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Archäologische Wissenschaften (20192), Bachelor Archäologische Wissenschaften (20192), Master Prähistorische Archäologie / Geoarchäologie (20192), Bachelor Geschichte (20192), Bachelor Physik (20201), Bachelor Physik (20201), Master Geschichte (20082), Bachelor Geschichte (20211), Bachelor Geschichte (20211), Master Geschichte (20211), Master Prähistorische Archäologie / Geoarchäologie (20211), Master Klassische / Christliche und Byzantinische Archäologie (20211), Master Prähist. Archäologie (20052)"," (12251240),  (128210080),  (12824230)Gr. Aufb. RM(1225100),  (1218230)"," (25-105-20052),  (82-105-20162),  (82-MAT-20102)Gr. Aufb. RM(25-105-20182),  (25-105-20132)","VG-12-105-023, VG-12-105-318",SoSe 2022,Funktionentheorie und Vektoranalysis,1. PG,Fr,09:00,12:00,Einzel,30.09.2022,30.09.2022,2370/00/0070, ,,"Agricola, I.; "
LV-12-105-276,Geometrie für das Lehramt,Vorlesung/Übung,,,,,SoSe 2022,Geometrie für das Lehramt,1. PG,Di,10:00,12:00,woch,12.04.2022,12.07.2022,2050/+1/0100, ,,"Lochmann, A.; "
LV-12-105-276,Geometrie für das Lehramt,Vorlesung/Übung,,,,,SoSe 2022,Geometrie für das Lehramt,1. PG,Do,13:00,16:00,Einzel,28.07.2022,28.07.2022,2370/+1/0010, ,,"Lochmann, A.; "
LV-12-105-276,Geometrie für das Lehramt,Vorlesung/Übung,,,,,SoSe 2022,Geometrie für das Lehramt,1. PG,Do,13:00,16:00,Einzel,22.09.2022,22.09.2022,2370/+1/0010, ,,"Lochmann, A.; "
LV-12-079-055,Grundlagen der Analysis,Vorlesung,"Master Geschichte (20192), Bachelor Geschichte (20122), Bachelor Geschichte (20192), Bachelor Volkswirtschaftslehre (20182), Bachelor Volkswirtschaftslehre (20182), Bachelor Betriebswirtschaftslehre (20182), LA an Gymn Informatik (20132), LA an Gymn Informatik (20132), Master Quantitative Accounting and Finance (20222), Bachelor Informatik (20102), Bachelor Informatik (20102), Bachelor Informatik (20162), Bachelor Informatik (20162), Bachelor Psychologie (20111), Master Gesch. d. Int. Politik (20122), Bachelor Psychologie (20111), Bachelor Data Science (20162), Bachelor Volkswirtschaftslehre (20112), Bachelor Volkswirtschaftslehre (20112), Bachelor Wirtschaftsinformatik (20162), Master Economics and Institutions (20112), Master Betriebswirtschaftslehre (20112), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Master Prähist. Archäologie (20102), LA E Gymn Informatik (20132), Master Geoarchäologie (20102), Master Geschichte (20122), Bachelor Geschichte (20122), Bachelor Archäologische Wissenschaften (20111), Bachelor Data Science (20162), Bachelor Wirtschaftsinformatik (20162), Bachelor Volkswirtschaftslehre (20181), Master Bildende Kunst (20181), Bachelor Betriebswirtschaftslehre (20182), Master Klassische / Christliche und Byzantinische Archäologie (20192), Bachelor Betriebswirtschaftslehre (20181), Bachelor Archäologische Wissenschaften (20111), Prüfung Ausland Physik grüner Technologien, Bachelor Geographie (20172), Bachelor Geographie (20172), Bachelor Betriebswirtschaftslehre (20202), Master Quantitative Accounting and Finance (20172), Prüfung Ausland Physik und Wirtschaft, Bachelor Archäologische Wissenschaften (20211), Bachelor Betriebswirtschaftslehre (20181), Master Betriebswirtschaftslehre (20181), Bachelor Volkswirtschaftslehre (20181), Bachelor Informatik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Bachelor Physik (20182), Bachelor Physik (20182), LA an Gymn Informatik (20182), LA an Gymn Informatik (20182), LA E Gymn Informatik (20182), Bachelor Archäologische Wissenschaften (20211), Bachelor Physik grüner Technologien (20202), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Physik und Wirtschaft (20192), Bachelor Physik und Wirtschaft (20192), Bachelor Archäologische Wissenschaften (20192), Bachelor Archäologische Wissenschaften (20192), Master Prähistorische Archäologie / Geoarchäologie (20192), Bachelor Geschichte (20192), Bachelor Physik (20201), Bachelor Physik (20201), Bachelor Volkswirtschaftslehre (20202), Bachelor Volkswirtschaftslehre (20202), Bachelor Physik grüner Technologien (20202), Master Chemie (20202), Bachelor Betriebswirtschaftslehre (20202), Master Geschichte (20082), Bachelor Geschichte (20211), Bachelor Geschichte (20211), Master Geschichte (20211), Master Prähistorische Archäologie / Geoarchäologie (20211), Master Klassische / Christliche und Byzantinische Archäologie (20211), Bachelor Physik (20042), Master Prähist. Archäologie (20052)","CS280(128220150), CS 280(12824140),  (821281520)","CS280(82-079-20162), CS 280(82-MAT-20102),  (82-128-20092)",,SoSe 2022,Grundlagen der Analysis,1. PG,Mo,12:00,14:00,woch,11.04.2022,11.07.2022,2370/+1/0020, ,,"Strauer, D.; "
LV-12-079-055,Grundlagen der Analysis,Vorlesung,"Master Geschichte (20192), Bachelor Geschichte (20122), Bachelor Geschichte (20192), Bachelor Volkswirtschaftslehre (20182), Bachelor Volkswirtschaftslehre (20182), Bachelor Betriebswirtschaftslehre (20182), LA an Gymn Informatik (20132), LA an Gymn Informatik (20132), Master Quantitative Accounting and Finance (20222), Bachelor Informatik (20102), Bachelor Informatik (20102), Bachelor Informatik (20162), Bachelor Informatik (20162), Bachelor Psychologie (20111), Master Gesch. d. Int. Politik (20122), Bachelor Psychologie (20111), Bachelor Data Science (20162), Bachelor Volkswirtschaftslehre (20112), Bachelor Volkswirtschaftslehre (20112), Bachelor Wirtschaftsinformatik (20162), Master Economics and Institutions (20112), Master Betriebswirtschaftslehre (20112), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Master Prähist. Archäologie (20102), LA E Gymn Informatik (20132), Master Geoarchäologie (20102), Master Geschichte (20122), Bachelor Geschichte (20122), Bachelor Archäologische Wissenschaften (20111), Bachelor Data Science (20162), Bachelor Wirtschaftsinformatik (20162), Bachelor Volkswirtschaftslehre (20181), Master Bildende Kunst (20181), Bachelor Betriebswirtschaftslehre (20182), Master Klassische / Christliche und Byzantinische Archäologie (20192), Bachelor Betriebswirtschaftslehre (20181), Bachelor Archäologische Wissenschaften (20111), Prüfung Ausland Physik grüner Technologien, Bachelor Geographie (20172), Bachelor Geographie (20172), Bachelor Betriebswirtschaftslehre (20202), Master Quantitative Accounting and Finance (20172), Prüfung Ausland Physik und Wirtschaft, Bachelor Archäologische Wissenschaften (20211), Bachelor Betriebswirtschaftslehre (20181), Master Betriebswirtschaftslehre (20181), Bachelor Volkswirtschaftslehre (20181), Bachelor Informatik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Bachelor Physik (20182), Bachelor Physik (20182), LA an Gymn Informatik (20182), LA an Gymn Informatik (20182), LA E Gymn Informatik (20182), Bachelor Archäologische Wissenschaften (20211), Bachelor Physik grüner Technologien (20202), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Physik und Wirtschaft (20192), Bachelor Physik und Wirtschaft (20192), Bachelor Archäologische Wissenschaften (20192), Bachelor Archäologische Wissenschaften (20192), Master Prähistorische Archäologie / Geoarchäologie (20192), Bachelor Geschichte (20192), Bachelor Physik (20201), Bachelor Physik (20201), Bachelor Volkswirtschaftslehre (20202), Bachelor Volkswirtschaftslehre (20202), Bachelor Physik grüner Technologien (20202), Master Chemie (20202), Bachelor Betriebswirtschaftslehre (20202), Master Geschichte (20082), Bachelor Geschichte (20211), Bachelor Geschichte (20211), Master Geschichte (20211), Master Prähistorische Archäologie / Geoarchäologie (20211), Master Klassische / Christliche und Byzantinische Archäologie (20211), Bachelor Physik (20042), Master Prähist. Archäologie (20052)","CS280(128220150), CS 280(12824140),  (821281520)","CS280(82-079-20162), CS 280(82-MAT-20102),  (82-128-20092)",,SoSe 2022,Grundlagen der Analysis,1. PG,Di,10:00,12:00,woch,12.04.2022,12.07.2022,2370/+2/0010, ,,"Strauer, D.; "
LV-12-079-055,Grundlagen der Analysis,Vorlesung,"Master Geschichte (20192), Bachelor Geschichte (20122), Bachelor Geschichte (20192), Bachelor Volkswirtschaftslehre (20182), Bachelor Volkswirtschaftslehre (20182), Bachelor Betriebswirtschaftslehre (20182), LA an Gymn Informatik (20132), LA an Gymn Informatik (20132), Master Quantitative Accounting and Finance (20222), Bachelor Informatik (20102), Bachelor Informatik (20102), Bachelor Informatik (20162), Bachelor Informatik (20162), Bachelor Psychologie (20111), Master Gesch. d. Int. Politik (20122), Bachelor Psychologie (20111), Bachelor Data Science (20162), Bachelor Volkswirtschaftslehre (20112), Bachelor Volkswirtschaftslehre (20112), Bachelor Wirtschaftsinformatik (20162), Master Economics and Institutions (20112), Master Betriebswirtschaftslehre (20112), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Master Prähist. Archäologie (20102), LA E Gymn Informatik (20132), Master Geoarchäologie (20102), Master Geschichte (20122), Bachelor Geschichte (20122), Bachelor Archäologische Wissenschaften (20111), Bachelor Data Science (20162), Bachelor Wirtschaftsinformatik (20162), Bachelor Volkswirtschaftslehre (20181), Master Bildende Kunst (20181), Bachelor Betriebswirtschaftslehre (20182), Master Klassische / Christliche und Byzantinische Archäologie (20192), Bachelor Betriebswirtschaftslehre (20181), Bachelor Archäologische Wissenschaften (20111), Prüfung Ausland Physik grüner Technologien, Bachelor Geographie (20172), Bachelor Geographie (20172), Bachelor Betriebswirtschaftslehre (20202), Master Quantitative Accounting and Finance (20172), Prüfung Ausland Physik und Wirtschaft, Bachelor Archäologische Wissenschaften (20211), Bachelor Betriebswirtschaftslehre (20181), Master Betriebswirtschaftslehre (20181), Bachelor Volkswirtschaftslehre (20181), Bachelor Informatik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Bachelor Physik (20182), Bachelor Physik (20182), LA an Gymn Informatik (20182), LA an Gymn Informatik (20182), LA E Gymn Informatik (20182), Bachelor Archäologische Wissenschaften (20211), Bachelor Physik grüner Technologien (20202), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Physik und Wirtschaft (20192), Bachelor Physik und Wirtschaft (20192), Bachelor Archäologische Wissenschaften (20192), Bachelor Archäologische Wissenschaften (20192), Master Prähistorische Archäologie / Geoarchäologie (20192), Bachelor Geschichte (20192), Bachelor Physik (20201), Bachelor Physik (20201), Bachelor Volkswirtschaftslehre (20202), Bachelor Volkswirtschaftslehre (20202), Bachelor Physik grüner Technologien (20202), Master Chemie (20202), Bachelor Betriebswirtschaftslehre (20202), Master Geschichte (20082), Bachelor Geschichte (20211), Bachelor Geschichte (20211), Master Geschichte (20211), Master Prähistorische Archäologie / Geoarchäologie (20211), Master Klassische / Christliche und Byzantinische Archäologie (20211), Bachelor Physik (20042), Master Prähist. Archäologie (20052)","CS280(128220150), CS 280(12824140),  (821281520)","CS280(82-079-20162), CS 280(82-MAT-20102),  (82-128-20092)",,SoSe 2022,Grundlagen der Analysis,2. PG,Sa,11:00,14:00,Einzel,16.07.2022,16.07.2022,2370/00/0030, ,,"Strauer, D.; "
LV-12-079-055,Grundlagen der Analysis,Vorlesung,"Master Geschichte (20192), Bachelor Geschichte (20122), Bachelor Geschichte (20192), Bachelor Volkswirtschaftslehre (20182), Bachelor Volkswirtschaftslehre (20182), Bachelor Betriebswirtschaftslehre (20182), LA an Gymn Informatik (20132), LA an Gymn Informatik (20132), Master Quantitative Accounting and Finance (20222), Bachelor Informatik (20102), Bachelor Informatik (20102), Bachelor Informatik (20162), Bachelor Informatik (20162), Bachelor Psychologie (20111), Master Gesch. d. Int. Politik (20122), Bachelor Psychologie (20111), Bachelor Data Science (20162), Bachelor Volkswirtschaftslehre (20112), Bachelor Volkswirtschaftslehre (20112), Bachelor Wirtschaftsinformatik (20162), Master Economics and Institutions (20112), Master Betriebswirtschaftslehre (20112), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Master Prähist. Archäologie (20102), LA E Gymn Informatik (20132), Master Geoarchäologie (20102), Master Geschichte (20122), Bachelor Geschichte (20122), Bachelor Archäologische Wissenschaften (20111), Bachelor Data Science (20162), Bachelor Wirtschaftsinformatik (20162), Bachelor Volkswirtschaftslehre (20181), Master Bildende Kunst (20181), Bachelor Betriebswirtschaftslehre (20182), Master Klassische / Christliche und Byzantinische Archäologie (20192), Bachelor Betriebswirtschaftslehre (20181), Bachelor Archäologische Wissenschaften (20111), Prüfung Ausland Physik grüner Technologien, Bachelor Geographie (20172), Bachelor Geographie (20172), Bachelor Betriebswirtschaftslehre (20202), Master Quantitative Accounting and Finance (20172), Prüfung Ausland Physik und Wirtschaft, Bachelor Archäologische Wissenschaften (20211), Bachelor Betriebswirtschaftslehre (20181), Master Betriebswirtschaftslehre (20181), Bachelor Volkswirtschaftslehre (20181), Bachelor Informatik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Bachelor Physik (20182), Bachelor Physik (20182), LA an Gymn Informatik (20182), LA an Gymn Informatik (20182), LA E Gymn Informatik (20182), Bachelor Archäologische Wissenschaften (20211), Bachelor Physik grüner Technologien (20202), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Physik und Wirtschaft (20192), Bachelor Physik und Wirtschaft (20192), Bachelor Archäologische Wissenschaften (20192), Bachelor Archäologische Wissenschaften (20192), Master Prähistorische Archäologie / Geoarchäologie (20192), Bachelor Geschichte (20192), Bachelor Physik (20201), Bachelor Physik (20201), Bachelor Volkswirtschaftslehre (20202), Bachelor Volkswirtschaftslehre (20202), Bachelor Physik grüner Technologien (20202), Master Chemie (20202), Bachelor Betriebswirtschaftslehre (20202), Master Geschichte (20082), Bachelor Geschichte (20211), Bachelor Geschichte (20211), Master Geschichte (20211), Master Prähistorische Archäologie / Geoarchäologie (20211), Master Klassische / Christliche und Byzantinische Archäologie (20211), Bachelor Physik (20042), Master Prähist. Archäologie (20052)","CS280(128220150), CS 280(12824140),  (821281520)","CS280(82-079-20162), CS 280(82-MAT-20102),  (82-128-20092)",,SoSe 2022,Grundlagen der Analysis,2. PG,Sa,11:00,14:00,Einzel,16.07.2022,16.07.2022,2370/+1/0020, ,,"Strauer, D.; "
LV-12-079-055,Grundlagen der Analysis,Vorlesung,"Master Geschichte (20192), Bachelor Geschichte (20122), Bachelor Geschichte (20192), Bachelor Volkswirtschaftslehre (20182), Bachelor Volkswirtschaftslehre (20182), Bachelor Betriebswirtschaftslehre (20182), LA an Gymn Informatik (20132), LA an Gymn Informatik (20132), Master Quantitative Accounting and Finance (20222), Bachelor Informatik (20102), Bachelor Informatik (20102), Bachelor Informatik (20162), Bachelor Informatik (20162), Bachelor Psychologie (20111), Master Gesch. d. Int. Politik (20122), Bachelor Psychologie (20111), Bachelor Data Science (20162), Bachelor Volkswirtschaftslehre (20112), Bachelor Volkswirtschaftslehre (20112), Bachelor Wirtschaftsinformatik (20162), Master Economics and Institutions (20112), Master Betriebswirtschaftslehre (20112), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Master Prähist. Archäologie (20102), LA E Gymn Informatik (20132), Master Geoarchäologie (20102), Master Geschichte (20122), Bachelor Geschichte (20122), Bachelor Archäologische Wissenschaften (20111), Bachelor Data Science (20162), Bachelor Wirtschaftsinformatik (20162), Bachelor Volkswirtschaftslehre (20181), Master Bildende Kunst (20181), Bachelor Betriebswirtschaftslehre (20182), Master Klassische / Christliche und Byzantinische Archäologie (20192), Bachelor Betriebswirtschaftslehre (20181), Bachelor Archäologische Wissenschaften (20111), Prüfung Ausland Physik grüner Technologien, Bachelor Geographie (20172), Bachelor Geographie (20172), Bachelor Betriebswirtschaftslehre (20202), Master Quantitative Accounting and Finance (20172), Prüfung Ausland Physik und Wirtschaft, Bachelor Archäologische Wissenschaften (20211), Bachelor Betriebswirtschaftslehre (20181), Master Betriebswirtschaftslehre (20181), Bachelor Volkswirtschaftslehre (20181), Bachelor Informatik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Bachelor Physik (20182), Bachelor Physik (20182), LA an Gymn Informatik (20182), LA an Gymn Informatik (20182), LA E Gymn Informatik (20182), Bachelor Archäologische Wissenschaften (20211), Bachelor Physik grüner Technologien (20202), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Physik und Wirtschaft (20192), Bachelor Physik und Wirtschaft (20192), Bachelor Archäologische Wissenschaften (20192), Bachelor Archäologische Wissenschaften (20192), Master Prähistorische Archäologie / Geoarchäologie (20192), Bachelor Geschichte (20192), Bachelor Physik (20201), Bachelor Physik (20201), Bachelor Volkswirtschaftslehre (20202), Bachelor Volkswirtschaftslehre (20202), Bachelor Physik grüner Technologien (20202), Master Chemie (20202), Bachelor Betriebswirtschaftslehre (20202), Master Geschichte (20082), Bachelor Geschichte (20211), Bachelor Geschichte (20211), Master Geschichte (20211), Master Prähistorische Archäologie / Geoarchäologie (20211), Master Klassische / Christliche und Byzantinische Archäologie (20211), Bachelor Physik (20042), Master Prähist. Archäologie (20052)","CS280(128220150), CS 280(12824140),  (821281520)","CS280(82-079-20162), CS 280(82-MAT-20102),  (82-128-20092)",,SoSe 2022,Grundlagen der Analysis,2. PG,Di,14:00,17:00,Einzel,20.09.2022,20.09.2022,2370/+1/0020, ,,"Strauer, D.; "
